product_id,product_name,price
1,interesting,279.52
2,book,288.79
3,service,51.48
4,technology,195.65
5,test,455.15
6,responsibility,14.94
7,model,430.05
8,specific,157.32
9,charge,220.3
10,true,352.8
11,several,66.82
12,blood,131.99
13,part,283.0
14,responsibility,424.13
15,yet,51.77
16,face,293.87
17,camera,357.25
18,family,310.89
19,develop,329.38
20,eye,269.48
21,single,110.67
22,tree,488.88
23,but,499.76
24,often,317.77
25,six,359.25
26,myself,222.06
27,capital,74.46
28,mission,241.24
29,always,192.37
30,skill,319.37
31,sure,442.26
32,area,250.18
33,relationship,391.8
34,cost,221.74
35,stock,305.59
36,range,420.89
37,Mr,295.92
38,outside,17.35
39,save,202.81
40,respond,392.43
41,very,336.47
42,long,470.43
43,hard,132.39
44,factor,413.39
45,none,20.31
46,he,225.66
47,approach,440.59
48,court,322.39
49,really,158.92
50,forget,369.69
